|||Sütunlar||||||||||||||||||||||||||
Satırlar|||Ankara(Akyurt)-1872|Ankara(Altındağ)-1130|Ankara(Ayaş)-1157|Ankara(Bala)-1167|Ankara(Beypazarı)-1187|Ankara(Elmadağ)-1302|Ankara(Etimesgut)-1922|Ankara(Evren)-1924|Ankara(Gölbaşı)-1744|Ankara(Güdül)-1365|Ankara(Haymana)-1387|Ankara(Kahramankazan)-1815|Ankara(Kalecik)-1427|Ankara(Kazan)-1815|Ankara(Keçiören)-1745|Ankara(Kızılcahamam)-1473|Ankara(Mamak)-1746|Ankara(Nallıhan)-1539|Ankara(Polatlı)-1578|Ankara(Pursaklar)-2034|Ankara(Sincan)-1747|Ankara(Yenimahalle)-1723|Ankara(Çamlıdere)-1227|Ankara(Çankaya)-1231|Ankara(Çubuk)-1260|Ankara(Şereflikoçhisar)-1658|
|||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||
||2011|650.0|170.0|47.0|96.0|650.0|306.0|20.0|120.0|570.0|300.0|117.0||1025.0|460.0|245.0|2150.0|314.0|775.0|460.0|170.0|122.0|347.0|600.0|150.0|4400.0|675.0|
||2012|879.0|250.0|48.0|97.0|1300.0|529.0|25.0|145.0|305.0|1000.0|298.0||1372.0|650.0|245.0|1417.0|330.0|1246.0|590.0|200.0|138.0|276.0|810.0|90.0|3520.0|960.0|
||2013|501.0|120.0|250.0|1351.0|1810.0|539.0|18.0|95.0|450.0|560.0|383.0||1993.0|208.0|260.0|1601.0|340.0|1070.0|770.0|270.0|141.0|138.0|820.0|120.0|3500.0|900.0|
||2014|873.0|699.0|159.0|1450.0|1665.0|759.0|160.0|161.0|526.0|160.0|510.0||1931.0|250.0|140.0|1691.0|540.0|1002.0|790.0|50.0|308.0|72.0|1000.0|493.0|4250.0|1110.0|
||2015|765.0|820.0|120.0|1360.0|1651.0|834.0|10.0|135.0|530.0|210.0|635.0||2013.0|269.0|142.0|1909.0|562.0|947.0|750.0|60.0|320.0|60.0|900.0|493.0|4800.0|320.0|
||2016|1311.0|825.0|150.0|1402.0|1432.0|380.0|14.0|132.0|540.0|213.0|790.0||2015.0|298.0|147.0|1950.0|630.0|932.0|800.0|50.0|325.0|60.0|950.0|490.0|4700.0|330.0|
||2017|1060.0|810.0|440.0|2332.0|847.0|741.0|44.0|166.0|1561.0|626.0|1063.0|1481.0|1481.0||210.0|1237.0|632.0|1113.0|1000.0|102.0|295.0|229.0|550.0|610.0|4515.0|1132.0|
||2018|1330.0|330.0|400.0|2446.0|458.0|688.0|82.0|190.0|1730.0|926.0|3200.0|412.0|1628.0||225.0|2017.0|660.0|1311.0|1100.0|120.0|320.0|116.0|400.0|350.0|3510.0|1350.0|
||2019|1879.0|205.0|390.0|2130.0|457.0|1007.0|125.0|160.0|1640.0|1256.0|4700.0|390.0|1963.0||270.0|2094.0|940.0|1310.0|900.0|131.0|422.0|162.0|450.0|660.0|4169.0|1544.0|
||2020|2091.0|197.0|400.0|2035.0|453.0|1145.0|74.0|134.0|1796.0|1136.0|2750.0|1240.0|2321.0||410.0|2184.0|915.0|1315.0|1000.0|144.0|449.0|179.0|510.0|680.0|5054.0|1649.0|
